weekly_activity_min,cog_score
180.0,27.0
420.0,37.0
600.0,63.0
600.0,45.0
75.0,78.0
150.0,81.0
90.0,50.0
45.0,27.0
360.0,50.0
420.0,56.0
720.0,59.0
300.0,65.0
600.0,32.0
285.0,27.0
780.0,51.0
80.0,77.0
480.0,22.0
300.0,43.0
210.0,74.0
420.0,53.0
600.0,33.0
90.0,60.0
190.0,39.0
600.0,57.0
300.0,48.0
30.0,40.0
720.0,38.0
1440.0,26.0
540.0,44.0
55.0,44.0
510.0,25.0
360.0,37.0
360.0,55.0
1080.0,61.0
300.0,73.0
300.0,49.0
540.0,68.0
660.0,65.0
80.0,53.0
600.0,60.0
840.0,31.0
390.0,30.0
240.0,49.0
65.0,48.0
270.0,46.0
780.0,49.0
600.0,55.0
360.0,46.0
150.0,77.0
90.0,37.0
540.0,29.0
1260.0,42.0
450.0,68.0
300.0,48.0
1440.0,57.0
360.0,41.0
1440.0,36.0
360.0,35.0
360.0,42.0
540.0,40.0
300.0,57.0
660.0,38.0
360.0,69.0
180.0,41.0
80.0,59.0
540.0,59.0
360.0,51.0
150.0,63.0
270.0,85.0
210.0,74.0
720.0,55.0
840.0,42.0
660.0,42.0
270.0,57.0
360.0,66.0
300.0,28.0
70.0,53.0
540.0,51.0
165.0,55.0
225.0,42.0
360.0,52.0
540.0,19.0
480.0,64.0
360.0,52.0
300.0,82.0
360.0,48.0
480.0,37.0
40.0,78.0
35.0,75.0
300.0,72.0
300.0,61.0
480.0,65.0
540.0,10.0
150.0,63.0
360.0,74.0
720.0,40.0
80.0,44.0
180.0,48.0
540.0,64.0
330.0,74.0
540.0,39.0
180.0,54.0
420.0,51.0
900.0,44.0
1440.0,34.0
420.0,29.0
70.0,29.0
240.0,55.0
660.0,27.0
180.0,58.0
630.0,58.0
300.0,50.0
720.0,29.0
960.0,52.0
360.0,63.0
1080.0,71.0
480.0,55.0
140.0,34.0
90.0,56.0
270.0,33.0
600.0,24.0
420.0,54.0
660.0,72.0
600.0,45.0
420.0,16.0
150.0,62.0
840.0,26.0
780.0,41.0
40.0,51.0
980.0,62.0
660.0,52.0
490.0,70.0
420.0,42.0
480.0,62.0
840.0,41.0
840.0,53.0
540.0,34.0
540.0,53.0
420.0,58.0
360.0,47.0
720.0,71.0
330.0,56.0
240.0,62.0
300.0,53.0
180.0,89.0
360.0,46.0
720.0,43.0
1200.0,25.0
780.0,48.0
420.0,48.0
600.0,36.0
300.0,77.0
720.0,67.0
360.0,57.0
50.0,53.0
165.0,44.0
360.0,36.0
360.0,56.0
180.0,47.0
180.0,58.0
80.0,51.0
360.0,56.0
420.0,67.0
720.0,75.0
300.0,63.0
900.0,35.0
240.0,59.0
360.0,54.0
1080.0,33.0
60.0,51.0
270.0,45.0
270.0,51.0
380.0,75.0
180.0,50.0
360.0,63.0
360.0,55.0
1080.0,46.0
600.0,40.0
1080.0,24.0
50.0,47.0
270.0,63.0
48.0,64.0
130.0,65.0
660.0,64.0
360.0,27.0
180.0,54.0
90.0,63.0
30.0,34.0
720.0,55.0
360.0,44.0
240.0,58.0
610.0,37.0
1440.0,44.0
390.0,47.0
360.0,30.0
420.0,56.0
90.0,77.0
300.0,59.0
420.0,52.0
540.0,45.0
240.0,57.0
90.0,68.0
360.0,38.0
540.0,67.0
360.0,32.0
120.0,55.0
240.0,28.0
1320.0,41.0
360.0,29.0
240.0,54.0
300.0,85.0
735.0,54.0
300.0,78.0
180.0,37.0
240.0,28.0
960.0,82.0
300.0,67.0
960.0,57.0
85.0,4.0
180.0,70.0
420.0,66.0
540.0,53.0
600.0,53.0
270.0,59.0
330.0,11.0
270.0,42.0
360.0,65.0
